Year,C02
13.30,276.75
29.50,277.88
56.00,277.38
104.50,277.51
136.00,278.13
168.20,280.05
202.50,280.72
227.90,281.49
274.20,280.13
302.30,279.83
329.20,278.92
364.60,277.05
428.40,276.91
461.20,276.72
499.80,276.36
536.70,276.00
572.00,277.56
595.60,276.90
632.00,278.25
667.90,279.39
698.40,279.70
729.70,278.53
764.50,278.53
799.20,278.55
857.30,279.34
897.40,278.91
944.20,279.12
968.20,278.46
1005.00,280.50
1025.20,280.83
1058.00,282.76
1105.40,282.75
1159.60,283.88
1207.40,283.60
1257.60,282.11
1275.80,281.13
1306.50,281.50
1349.70,280.06
1411.30,279.62
1429.30,279.54
1431.00,282.52
1560.40,281.75
1588.30,281.03
1610.40,271.83
1628.90,274.50
1640.10,276.62
1689.60,276.25
1722.80,276.94
1734.10,278.23
1742.70,276.74
1752.00,276.39
1763.50,276.32
1773.70,277.78
1780.60,276.78
1794.40,281.54
1799.60,281.15
1814.20,284.34
1826.20,281.28
1834.50,283.73
1838.00,284.07
1844.00,286.50
1846.00,284.13
1849.00,287.73
1852.30,288.57
1854.00,287.03
1859.00,286.48
1864.00,285.41
1867.00,285.22
1869.10,287.69
1873.00,287.17
1874.00,290.52
1884.00,289.81
1884.40,289.01
1886.00,290.62
1889.00,291.87
1894.00,293.84
1896.00,298.16
1899.00,296.10
1902.00,295.32
1904.00,295.12
1909.00,300.45
1911.50,298.39
1914.00,300.35
1918.60,303.27
1919.00,303.55
1923.00,303.20
1923.60,305.20
1928.80,307.77
1929.00,305.72
1933.00,307.21
1934.50,307.82
1936.50,308.99
1938.00,309.56
1939.00,310.94
1940.00,311.90
1941.00,310.70
1941.50,310.30
1942.00,311.29
1943.00,310.77
1944.00,311.59
1945.00,309.75
1946.00,311.46
1947.00,310.75
1948.00,310.47
1949.00,311.15
1950.00,312.55
1953.00,312.06
1954.00,311.68
1955.00,313.64
1957.00,314.04
1958.00,314.59
1959.00,315.39
1960.00,316.30
1961.00,316.97
1962.00,317.76
1963.00,318.34
1964.00,318.92
1965.00,319.29
1966.00,320.45
1967.00,321.44
1968.00,322.06
1969.00,323.15
1970.00,324.48
1971.00,325.40
1972.00,326.09
1973.00,327.68
1974.00,329.18
1975.00,329.76
1976.00,330.89
1977.00,332.04
1978.00,333.88
1979.00,335.20
1980.00,336.90
1981.00,338.58
1982.00,339.66
1983.00,340.90
1984.00,342.89
1985.00,344.14
1986.00,345.54
1987.00,346.95
1988.00,349.19
1989.00,351.06
1990.00,352.29
1991.00,353.77
1992.00,354.86
1993.00,355.69
1994.00,356.77
1995.00,358.68
1996.00,360.58
1997.00,361.83
1998.00,363.63
1999.00,366.36
2000.00,367.60
2001.00,368.91
2002.00,370.69
2003.00,373.10
2004.00,375.19
2005.00,376.94
2006.00,379.29
2007.00,381.01
2008.00,383.07
2009.00,384.82
2010.00,386.73
2011.00,388.92
2012.00,390.71
2013.00,393.31
2014.00,395.87
2015.00,397.83
2016.00,400.78
2017.00,403.57
2018.00,405.61