CodeName,Name,Count,%Occurence
ctyp_100m3,Centropages typicus per 100m3 of water volume,3760,0.955770208
chaeto_100m3,Chaetognatha per 100m3 of water volume,3600,0.915099136
calfin_100m3,Calanus finmarchicus per 100m3 of water volume,3481,0.884850025
oithspp_100m3,Oithona spp. per 100m3 of water volume,3210,0.815963396
pseudo_100m3,Pseudocalanus spp. per 100m3 of water volume,3044,0.773767158
gas_100m3,Gastropoda per 100m3 of water volume,2988,0.759532283
hyper_100m3,Hyperiidea per 100m3 of water volume,2726,0.692933401
mlucens_100m3,Metridia lucens per 100m3 of water volume,2682,0.681748856
para_100m3,Paracalanus parvus per 100m3 of water volume,2429,0.617437722
larvaceans_100m3,appendicularians - append per 100m3 of water volume,2410,0.612608033
tlong_100m3,Temora longicornis per 100m3 of water volume,2005,0.50965938
dec_100m3,,1941,0.493390951
acarspp_100m3,,1891,0.48068124
clauso,,1842,0.468225724
euph_100m3,,1797,0.456786985
calminor_100m3,,1734,0.44077275
euph1_100m3,,1717,0.436451449
cham_100m3,,1681,0.427300458
fish_100m3,,1428,0.362989324
thecos_100m3,,1406,0.357397051
siph_100m3,,1314,0.334011185
echino_100m3,,1272,0.323335028
spirspp_100m3,,1207,0.306812405
poly_100m3,,1197,0.304270463
evadnespp_100m3,,1155,0.293594306
salps_100m3,,1068,0.27147941
oncaea_100m3,,937,0.238179969
prot_100m3,,926,0.235383833
coel_100m3,,926,0.235383833
penilia_100m3,,924,0.234875445
cory_100m3,,792,0.20132181
bry_100m3,,756,0.192170819
cirr_100m3,,718,0.182511439
fur_100m3,,666,0.16929334
acarlong_100m3,,607,0.154295882
tstyl_100m3,,561,0.142602949
ost_100m3,,551,0.140061007
euc_100m3,,532,0.135231317
pel_100m3,,516,0.131164209
gam_100m3,,462,0.117437722
oithspin_100m3,,400,0.101677682
copepoda_100m3,,389,0.098881546
tort_100m3,,292,0.074224708
paraspp_100m3,,291,0.073970513
podon_100m3,,273,0.069395018
mysids_100m3,,263,0.066853076
calspp_100m3,,240,0.061006609
evadnord_100m3,,196,0.049822064
temspp_100m3,,180,0.045754957
thysgr_100m3,,173,0.043975597
ctenop_100m3,,159,0.040416878
euphkr_100m3,,110,0.027961362
spirre_100m3,,97,0.024656838
megan_100m3,,75,0.019064565
gymnos_100m3,,61,0.015505846
thyslo_100m3,,48,0.012201322
crespp_100m3,,48,0.012201322
nemame_100m3,,32,0.008134215
thysra_100m3,,25,0.006354855
thysin_100m3,,13,0.003304525
thysspp_100m3,,9,0.002287748
stylspp_100m3,,4,0.001016777
scyphz_100m3,,1,0.000254194
euphspp_100m3,,1,0.000254194
nemaspp_100m3,,1,0.000254194
stylel_100m3,,1,0.000254194
nemabo_100m3,,1,0.000254194
anthz_100m3,,0,0
hydrom_100m3,,0,0
eupham_100m3,,0,0
shysac_100m3,,0,0
thypsp_100m3,,0,0
spirhe_100m3,,0,0
spirin_100m3,,0,0
spirtr_100m3,,0,0
clispp_100m3,,0,0
crevir_100m3,,0,0
diatri_100m3,,0,0
clicus_100m3,,0,0
clipyr_100m3,,0,0
cavunc_100m3,,0,0
cavinf_100m3,,0,0
cavlon_100m3,,0,0
stysub_100m3,,0,0
spirbu_100m3,,0,0
cavspp_100m3,,0,0
cavoli_100m3x,,0,0
pnespp_100m3,,0,0
paedol_100m3,,0,0
clilim_100m3,,0,0
pnepau_100m3,,0,0